1A,52,4,PF,AP,FE,CAL,IRS
1B,52,4,PF,AP,FE,CAL,IRS
1C,52,4,PF,AP,FE,CAL,IRS
1D,52,4,PF,AP,FE,CAL,IRS
1E,52,4,PF,AP,FE,CAL,IRS
1F,52,4,PF,AP,FE,CAL,IRS
1G,52,4,PF,AP,FE,CAL,IRS
1H,52,4,PF,AP,FE,CAL,IRS
1J,52,4,PF,AP,FE,CAL,IRS
3A,48,4,DS,COAL,LA,DISCRETE
3B,51,4,DS,COAL,LA,DISCRETE
3C,44,4,DS,COAL,LA,DISCRETE
3D,47,4,DS,COAL,LA,DISCRETE
3E,52,4,DS,COAL,LA,DISCRETE
3F,40,4,DS,COAL,LA,DISCRETE
3G,46,4,DS,COAL,LA,DISCRETE
3H,51,4,DS,COAL,LA,DISCRETE
3J,49,4,DS,COAL,LA,DISCRETE
5A,51,4,ALGO,DB,SDA,PDC
5B,51,4,ALGO,DB,SDA,PDC
5C,51,4,ALGO,DB,SDA,PDC
5D,51,4,ALGO,DB,SDA,PDC
5E,51,4,ALGO,DB,SDA,PDC
5F,51,4,ALGO,DB,SDA,PDC
5G,51,4,ALGO,DB,SDA,PDC
5H,51,4,ALGO,DB,SDA,PDC
7A,49,3,IS,PPIT,P1
7B,49,3,IS,PPIT,P1
7C,39,3,IS,PPIT,P1
7D,39,3,IS,PPIT,P1
7E,39,3,IS,PPIT,P1
7F,39,3,IS,PPIT,P1
